# division directionality movement
2.000000000000000000e+00 5.613703805353829068e+00 1.127587427088907468e+00
1.000000000000000000e+00 7.811936148771084554e+00 2.836270320872303685e+00
0.000000000000000000e+00 2.522867330784512419e+00 1.696679565252431909e-01
2.000000000000000000e+00 5.295669922976294686e+00 1.143680658699406660e-01
1.000000000000000000e+00 9.143197796264596278e+00 7.549502832243492056e-01
3.000000000000000000e+00 4.982465720963983991e+00 6.989463667910978950e-01
7.000000000000000000e+00 4.835474752024293110e+00 3.732883643288451014e-01
0.000000000000000000e+00 6.215156711013022139e+00 3.663984073261754015e-01
3.000000000000000000e+00 7.373741807780297641e+00 4.172087531368968705e-01
0.000000000000000000e+00 1.474506262751430485e+00 8.837172678957119776e-02
1.600000000000000000e+01 2.688013748297170213e+00 5.714007888613533703e-01
4.000000000000000000e+00 9.266365731365809211e+00 5.236502122603904352e-01
4.000000000000000000e+00 5.534812626439808092e+00 3.972588154867892074e-01
5.000000000000000000e+00 3.847266122371451935e+00 3.206995078956506595e-01
0.000000000000000000e+00 4.369227407393919016e+00 4.159718532420210724e-01
3.000000000000000000e+00 5.712853600133738219e+00 1.475249686172903418e+00
4.000000000000000000e+00 4.880602642747165376e+00 1.072469180403495592e+00
1.900000000000000000e+01 2.222066236487189705e+00 5.683177301511010970e-01
2.000000000000000000e+00 1.074266502127835210e+01 2.908228733541050048e-01
3.000000000000000000e+00 2.134671000773563865e+00 2.475784192981528964e+00
1.300000000000000000e+01 4.192427409417356365e+00 1.002567132408600514e+00
2.000000000000000000e+00 6.680618340565151136e+00 6.024600349871789273e-01
4.000000000000000000e+00 5.904263024926523329e+00 3.000674520549803659e-01
3.000000000000000000e+00 3.476121239206820146e+00 2.467559029826492445e+00
7.000000000000000000e+00 3.105552473254262758e+00 2.741197040545786834e+00
3.000000000000000000e+00 4.566747873475560660e+00 1.228693224983472110e+00
4.000000000000000000e+00 3.060544584877258334e+00 2.556511774550397131e+00
4.000000000000000000e+00 3.014538733829541961e+00 1.872926869697081553e+00
4.000000000000000000e+00 3.667583223974319573e+00 2.445438933549492155e+00
5.000000000000000000e+00 3.392102722273867332e+00 3.396711279442934384e+00
1.000000000000000000e+00 4.005080306565310444e+00 1.420102922232888476e+00
5.000000000000000000e+00 3.848779155520767770e+00 3.645654275376003728e+00
2.000000000000000000e+00 7.479461514205429928e+00 5.818871605926655421e-01
4.000000000000000000e+00 3.821630615113420504e+00 1.205178171209384086e+00
1.400000000000000000e+01 2.228034870336853324e+00 3.784330049403014096e-01
9.000000000000000000e+00 4.548222290609948537e+00 2.444082163590834966e+00
6.000000000000000000e+00 2.334425368173955295e+00 1.218041617381956598e+00
3.000000000000000000e+00 6.704852539109235288e+00 2.343670040386378162e+00
4.000000000000000000e+00 7.709240723280032626e+00 5.162873559365203091e-01
3.000000000000000000e+00 3.602072366438544559e+00 2.437868507335302137e+00
4.000000000000000000e+00 7.367243062728944025e+00 2.450669825487473974e-01
3.000000000000000000e+00 4.279006464549925504e+00 2.179713068031774004e+00
4.000000000000000000e+00 5.427209524818369601e+00 1.817201370113464831e-01
4.000000000000000000e+00 6.012776205595690371e+00 1.621953545223983717e+00
2.000000000000000000e+00 6.103665303274720344e+00 9.143743449936964085e-01
2.000000000000000000e+00 6.903909595305621316e+00 8.180344517438130625e-01
1.900000000000000000e+01 2.538486792703080752e+00 6.982540162603398937e-01
7.000000000000000000e+00 4.014182452183179706e+00 9.490688901951612744e-01
