# dep octanol octanoic pentanol
1.428571428571428492e-01 3.877551020408163129e-01 2.857142857142856984e-01 1.836734693877550839e-01
1.546391752577319367e-01 3.092783505154638735e-01 3.917525773195876249e-01 1.443298969072165094e-01
3.367346938775510612e-01 4.489795918367346927e-01 2.040816326530612429e-02 1.938775510204081565e-01
3.163265306122449161e-01 3.367346938775510612e-01 2.755102040816326814e-01 7.142857142857143848e-02
3.367346938775510612e-01 4.489795918367346927e-01 2.040816326530612429e-02 1.938775510204081565e-01
1.919191919191919338e-01 1.919191919191919338e-01 0.000000000000000000e+00 6.161616161616161325e-01
3.163265306122449161e-01 3.367346938775510612e-01 2.755102040816326814e-01 7.142857142857143848e-02
9.183673469387755584e-02 3.163265306122449161e-01 1.632653061224489943e-01 4.285714285714286031e-01
1.734693877551020391e-01 2.959183673469387155e-01 3.877551020408163129e-01 1.428571428571428492e-01
1.313131313131312983e-01 4.343434343434343092e-01 2.626262626262625965e-01 1.717171717171717127e-01
2.929292929292929282e-01 4.242424242424242542e-01 3.030303030303030387e-02 2.525252525252525415e-01
1.546391752577319367e-01 3.092783505154638735e-01 3.917525773195876249e-01 1.443298969072165094e-01
1.237113402061855577e-01 7.216494845360825472e-02 4.948453608247422308e-01 3.092783505154638735e-01
9.183673469387755584e-02 3.163265306122449161e-01 1.632653061224489943e-01 4.285714285714286031e-01
2.929292929292929282e-01 4.242424242424242542e-01 3.030303030303030387e-02 2.525252525252525415e-01
3.232323232323232598e-01 9.090909090909091161e-02 4.242424242424242542e-01 1.616161616161616299e-01
3.232323232323232598e-01 9.090909090909091161e-02 4.242424242424242542e-01 1.616161616161616299e-01
1.734693877551020391e-01 2.959183673469387155e-01 3.877551020408163129e-01 1.428571428571428492e-01
1.237113402061855577e-01 7.216494845360825472e-02 4.948453608247422308e-01 3.092783505154638735e-01
1.313131313131312983e-01 4.343434343434343092e-01 2.626262626262625965e-01 1.717171717171717127e-01
1.919191919191919338e-01 1.919191919191919338e-01 0.000000000000000000e+00 6.161616161616161325e-01
2.474226804123711432e-01 2.474226804123711432e-01 2.680412371134020533e-01 2.371134020618556881e-01
3.838383838383838675e-01 1.919191919191919338e-01 3.535353535353535359e-01 7.070707070707071829e-02
1.546391752577319367e-01 2.061855670103092744e-02 4.845360824742267480e-01 3.402061855670103219e-01
2.551020408163265363e-01 1.020408163265306145e-01 0.000000000000000000e+00 6.428571428571429047e-01
2.020202020202020443e-01 0.000000000000000000e+00 3.838383838383838675e-01 4.141414141414141437e-01
2.040816326530612290e-01 5.000000000000000000e-01 6.122448979591836593e-02 2.346938775510204189e-01
2.244897959183673464e-01 4.489795918367346927e-01 0.000000000000000000e+00 3.265306122448979886e-01
2.551020408163265363e-01 1.020408163265306145e-01 0.000000000000000000e+00 6.428571428571429047e-01
2.474226804123711432e-01 2.474226804123711432e-01 2.680412371134020533e-01 2.371134020618556881e-01
1.717171717171717127e-01 5.050505050505050414e-02 4.747474747474746959e-01 3.030303030303029832e-01
1.546391752577319367e-01 2.061855670103092744e-02 4.845360824742267480e-01 3.402061855670103219e-01
2.164948453608247503e-01 2.989690721649484462e-01 1.649484536082474195e-01 3.195876288659794118e-01
2.164948453608247503e-01 2.989690721649484462e-01 1.649484536082474195e-01 3.195876288659794118e-01
2.040816326530612290e-01 5.000000000000000000e-01 6.122448979591836593e-02 2.346938775510204189e-01
2.244897959183673464e-01 4.489795918367346927e-01 0.000000000000000000e+00 3.265306122448979886e-01
1.717171717171717127e-01 5.050505050505050414e-02 4.747474747474746959e-01 3.030303030303029832e-01
3.838383838383838675e-01 1.919191919191919338e-01 3.535353535353535359e-01 7.070707070707071829e-02
2.525252525252525415e-01 3.333333333333333703e-01 6.060606060606060774e-02 3.535353535353535359e-01
2.020202020202020443e-01 0.000000000000000000e+00 3.838383838383838675e-01 4.141414141414141437e-01
2.525252525252525415e-01 3.333333333333333703e-01 6.060606060606060774e-02 3.535353535353535359e-01
6.101010101010101438e-01 2.020202020202020443e-01 7.676767676767677628e-02 1.111111111111111188e-01
4.510204081632652739e-01 9.183673469387755584e-02 8.163265306122449716e-03 4.489795918367346927e-01
8.428571428571428603e-01 2.040816326530612429e-02 1.061224489795918463e-01 3.061224489795918297e-02
5.204081632653061451e-01 1.122448979591836732e-01 5.102040816326530726e-02 3.163265306122449161e-01
4.510204081632652739e-01 9.183673469387755584e-02 8.163265306122449716e-03 4.489795918367346927e-01
6.101010101010101438e-01 2.020202020202020443e-01 7.676767676767677628e-02 1.111111111111111188e-01
5.816326530612245804e-01 1.020408163265306214e-02 8.163265306122449716e-02 3.265306122448979886e-01
5.204081632653061451e-01 1.122448979591836732e-01 5.102040816326530726e-02 3.163265306122449161e-01
4.653061224489795089e-01 1.428571428571428492e-01 5.510204081632652517e-02 3.367346938775510057e-01
4.734693877551020558e-01 1.836734693877551117e-01 5.714285714285715495e-02 2.857142857142857539e-01
