# division directionality movement
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 3.391791043424531527e+00 5.293658868846595755e-02
1.000000000000000000e+00 4.716818094595626398e+00 3.295311462351521170e-01
0.000000000000000000e+00 1.225429526854580509e+00 2.576908566599011782e-02
4.000000000000000000e+00 4.100666521352526850e+00 8.430795980702764369e-01
1.000000000000000000e+00 9.359674610129015804e+00 4.336306248109204065e-01
3.000000000000000000e+00 5.640705649707435043e+00 9.434496363492922422e-02
0.000000000000000000e+00 4.348643504868559440e+00 2.106257070235282580e-01
2.000000000000000000e+00 9.281228181493716534e+00 1.709504187665648323e-01
1.000000000000000000e+00 1.054331374971308755e+01 4.126583745311136475e-01
6.000000000000000000e+00 4.634738512234260810e+00 3.136339075934300724e-01
2.000000000000000000e+00 9.230871094133247468e+00 3.162404063686233280e-01
6.000000000000000000e+00 4.519329192743846590e+00 1.479935240977801880e-01
0.000000000000000000e+00 4.644036448426565933e+00 1.376111718120376359e-01
2.000000000000000000e+00 6.076694314656826634e+00 9.086412746178909594e-02
0.000000000000000000e+00 3.281965345485953645e+00 3.236658560551876063e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 3.187776877144217647e+00 5.966765474659810331e-02
2.000000000000000000e+00 5.924582441914909126e+00 2.889727678918421194e-01
1.000000000000000000e+00 6.596330183483476439e+00 1.432806624243939120e-01
0.000000000000000000e+00 5.074727639025516268e+00 2.679867043878056965e-01
0.000000000000000000e+00 2.286482982489608240e+00 1.496937078490467588e-01
7.000000000000000000e+00 4.801120626674414638e+00 8.964347394471855468e-01
0.000000000000000000e+00 7.057790514135534911e-03 1.976369701442718101e-03
0.000000000000000000e+00 1.772816808929744137e-01 3.883265635176031457e-03
0.000000000000000000e+00 4.060482773364189946e+00 1.579779568276374613e-01
4.000000000000000000e+00 8.197957272023948860e+00 5.642691604950986761e-01
1.000000000000000000e+00 3.034545339358194926e+00 7.812883430602042545e-02
5.000000000000000000e+00 3.376067659574768065e+00 1.516226962641445963e+00
0.000000000000000000e+00 0.000000000000000000e+00 3.396739130434782514e-04
1.000000000000000000e+00 3.160463672415000147e+00 1.107516619235218158e-01
3.000000000000000000e+00 7.006920147878780369e+00 1.724428865975622394e-01
0.000000000000000000e+00 5.360755223179549667e-01 8.343744738943503769e-03
0.000000000000000000e+00 2.874936453123783320e+00 1.229227686760485244e-01
1.000000000000000000e+01 5.393140235130032600e+00 4.926224801443561674e-01
2.000000000000000000e+00 7.680165886896446636e+00 1.102778733476317968e-01
2.000000000000000000e+00 1.004006885476017352e+01 3.181380309470029366e-01
5.000000000000000000e+00 1.057937931416308963e+01 3.321354820458966017e-01
8.000000000000000000e+00 1.952284957911358587e+00 5.114964403609255639e-01
0.000000000000000000e+00 4.397920816850568571e+00 1.825958177291084894e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 4.374677546976381004e-01 2.365579956533845826e-02
2.000000000000000000e+00 1.064235142608864848e+01 1.956361736021513531e-01
0.000000000000000000e+00 6.405593433709447782e-01 2.976257423685708600e-02
2.000000000000000000e+00 2.909238059029632950e+00 3.037558045073022739e-01
2.000000000000000000e+00 7.817057563567300527e+00 2.187567987691155513e-01
1.000000000000000000e+00 1.293508666325613898e+00 3.406729952894013702e-02
0.000000000000000000e+00 4.326407537009060889e+00 1.425205134318920652e-01
2.000000000000000000e+00 1.008303377288893898e+01 4.800239427270689418e-01
0.000000000000000000e+00 4.278020621096514375e+00 3.410076522158504431e-01
1.000000000000000000e+00 6.118137114602484772e+00 4.020624478324596462e-01
1.000000000000000000e+00 4.021570135624377151e+00 1.883149230156311860e-01
4.000000000000000000e+00 6.090777210542910325e+00 2.370713982442961831e-01
2.000000000000000000e+00 1.033241801524883918e+01 1.305614782954762632e-01
0.000000000000000000e+00 3.331980090541414974e+00 1.365409677575537550e-01
0.000000000000000000e+00 4.341721336706049428e+00 1.624657359779529964e-01
4.000000000000000000e+00 1.247377529198178259e+01 1.775400414854543474e+00
0.000000000000000000e+00 6.220557696614497090e+00 2.670667373312723969e-01
1.000000000000000000e+00 7.432352615848996535e+00 1.546203477238863311e-01
0.000000000000000000e+00 1.187889997616679061e+01 3.004608790427458764e-01
2.000000000000000000e+00 5.863104729116546565e+00 3.373418072584149496e-01
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 3.492449849856364974e+00 1.274585572314239357e-01
0.000000000000000000e+00 6.081848355644923210e+00 8.860124399427965480e-02
2.000000000000000000e+00 1.740037418835066774e+01 2.617120711884372009e-01
1.000000000000000000e+00 7.207815765391586638e+00 1.860594072198180904e-01
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.114826893891398239e-02 3.920645917466338524e-03
4.000000000000000000e+00 7.962321430474520234e+00 1.257880689217957260e+00
9.000000000000000000e+00 1.933287339204014188e+00 2.336315259274192035e-01
3.000000000000000000e+00 7.518219787696026835e+00 4.161279409263452522e-01
9.000000000000000000e+00 2.874533040451735300e+00 7.471312325757992756e-01
1.000000000000000000e+00 7.969109032079045640e+00 2.833964561435559637e-01
2.000000000000000000e+00 1.195112583472061019e+01 2.132424085845785466e-01
3.000000000000000000e+00 3.855182036569630100e+00 1.247759652145800091e-01
3.000000000000000000e+00 8.160992133180016594e+00 6.343999014020810234e-01
1.000000000000000000e+00 6.458126525669390716e+00 5.093049989307445458e-01
5.000000000000000000e+00 9.965679168287509881e+00 3.925031952708392113e-01
0.000000000000000000e+00 1.379475957629903604e+00 1.233282968567862431e-01
4.000000000000000000e+00 9.417972489871871744e+00 6.477837064909635068e-01
2.000000000000000000e+00 2.522495245482884485e+01 4.305973585077591537e-01
0.000000000000000000e+00 1.164363233340292680e+00 7.648442994566580222e-02
0.000000000000000000e+00 1.196500133886417183e+00 7.471164995804788211e-02
5.000000000000000000e+00 6.153940643771973917e+00 1.661822343218248565e-01
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 6.291550432641810353e+00 9.226738689971205609e-01
2.000000000000000000e+00 2.131227776811768848e+01 2.590367835983595213e-01
3.000000000000000000e+00 3.299836877775824906e+00 1.346508244926133968e-01
0.000000000000000000e+00 5.442555939137732501e+00 3.490253172324701558e-01
0.000000000000000000e+00 1.266356200938359322e+00 9.592959784559422498e-02
9.000000000000000000e+00 4.015315486741623197e+00 1.168461005490232907e+00
