path dep dodecane octanol pentanol division directionality movement
dodecane/0022 0.29999999999999999 0.20000000000000001 0.20000000000000001 0.29999999999999999 1.0 4.5598275444448744 0.14358976921289487
dodecane/0023 0.22222222222222221 0.22222222222222221 0.22222222222222221 0.33333333333333331 2.0 13.490420492379332 0.46943788454233881
dodecane/0024 0.20000000000000001 0.20000000000000001 0.0 0.59999999999999998 2.0 7.7881657881164923 0.30215290281184115
dodecane/0025 0.5 0.5 0.0 0.0 3.0 5.9032258058974572 0.090268303385594287
dodecane/0026 0.33333333333333331 0.5 0.16666666666666666 0.0 7.0 3.4297635363279748 0.085347349981057447
dodecane/0027 0.5 0.16666666666666666 0.16666666666666666 0.16666666666666666 7.0 5.6138876232680657 0.42059891772566521
dodecane/0028 0.25 0.0 0.75 0.0 1.0 4.8259381019863756 3.1977594048644558
dodecane/0029 0.0 0.33333333333333331 0.66666666666666663 0.0 0.0 2.5839787573959545 0.17938170803973119
dodecane/0030 0.33333333333333331 0.33333333333333331 0.16666666666666666 0.16666666666666666 0.0 9.1073283768919069 0.27389556496789919
dodecane/0031 0.20000000000000001 0.20000000000000001 0.40000000000000002 0.20000000000000001 0.0 0.0 0.0
dodecane/0032 0.75 0.0 0.25 0.0 1.0 7.8408140228108021 0.30493191754111026
dodecane/0033 0.42857142857142855 0.42857142857142855 0.0 0.14285714285714285 5.0 2.7419200233052918 0.080607492085410265
dodecane/0034 0.0 0.66666666666666663 0.0 0.33333333333333331 0.0 0.0 0.0
dodecane/0035 0.66666666666666663 0.33333333333333331 0.0 0.0 5.0 5.0999807346328723 0.10331070140613975
dodecane/0036 0.1111111111111111 0.22222222222222221 0.33333333333333331 0.33333333333333331 2.0 11.850078506634658 0.5184662842410952
dodecane/0037 0.27272727272727271 0.27272727272727271 0.27272727272727271 0.18181818181818182 0.0 1.7308740206832107 0.096919940229982862
dodecane/0038 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.14285714285714285 0.0 4.6393069688682713 0.12948822068887259
dodecane/0039 0.33333333333333331 0.33333333333333331 0.0 0.33333333333333331 4.0 4.2889683701527703 0.076560258204881729
dodecane/0040 0.16666666666666666 0.5 0.33333333333333331 0.0 0.0 2.8818769968893485 0.10572582223020621
dodecane/0041 0.14285714285714285 0.2857142857142857 0.2857142857142857 0.2857142857142857 0.0 5.599897839009869 0.11660370852701515
dodecane/0042 0.0 0.25 0.0 0.75 2.0 12.686714579718522 0.17117923615071629
dodecane/0043 0.42857142857142855 0.14285714285714285 0.42857142857142855 0.0 5.0 2.1190051038906073 0.30929297208680284
dodecane/0044 0.75 0.25 0.0 0.0 4.0 8.3029664526070714 0.13505425199162419
dodecane/0045 0.22222222222222221 0.33333333333333331 0.22222222222222221 0.22222222222222221 1.0 1.2344013476774836 0.060995620772805854
dodecane/0046 0.42857142857142855 0.0 0.2857142857142857 0.2857142857142857 4.0 7.5967209179245714 1.335289769098615
dodecane/0047 0.0 0.16666666666666666 0.5 0.33333333333333331 0.0 0.6374651886141115 0.051027389826863806
dodecane/0048 0.33333333333333331 0.22222222222222221 0.22222222222222221 0.22222222222222221 0.0 8.5094484971792337 0.30109938879694281
dodecane/0049 0.29999999999999999 0.29999999999999999 0.29999999999999999 0.10000000000000001 0.0 1.7267369260962253 0.060978779633295094
dodecane/0050 0.42857142857142855 0.0 0.42857142857142855 0.14285714285714285 10.0 2.4702028791856661 0.83328707531630508
dodecane/0051 0.14285714285714285 0.42857142857142855 0.42857142857142855 0.0 0.0 3.5658848258474221 0.084099247537398239
dodecane/0052 0.16666666666666666 0.16666666666666666 0.16666666666666666 0.5 0.0 4.1469831356034881 0.21935101722372521
dodecane/0053 0.125 0.25 0.375 0.25 0.0 5.5014087772388578 0.2489075431708436
dodecane/0054 0.125 0.25 0.375 0.25 0.0 1.9379547215930193 0.13423231093868013
dodecane/0055 0.125 0.25 0.25 0.375 0.0 2.4351462548967708 0.051942097498447193
dodecane/0056 0.40000000000000002 0.40000000000000002 0.0 0.20000000000000001 2.0 6.2846137943913059 0.1095606886249485
dodecane/0057 0.20000000000000001 0.40000000000000002 0.40000000000000002 0.0 0.0 1.5686550056113016 0.053732583834556209
dodecane/0058 0.16666666666666666 0.5 0.16666666666666666 0.16666666666666666 0.0 7.0917244440555409 0.25730380493444333
